Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
A. Alaba,Center,2,7,0,0,7,3.2,'1-2,'3-8,'0-2,'0-1,'2-5,33.33%,'1-2,'2-5,'0-2,'0-0,'1-2,36.36%,'0-0,'1-3,'0-0,'0-1,'1-3,28.57%,'0-1,'0-0,'0-0,'0-0,'2-3,50.00%,1,1,0,0,4,1.2,1,3,1,3,1,1.8,2,4,1,3,5,3,1,2,1,0,0,0.8,0,2,0,0,4,1.2,0,0,0,0,0,0,2,1,1,2,1,1.4,11:48.0,19:27.0,08:57.0,10:41.0,12:17.0,12:38.0,,,,
B. Alaba,Shooting Guard,3,0,0,5,0,1.6,'1-6,'0-2,'0-1,'2-3,'0-0,25.00%,'0-1,'0-0,'0-0,'1-1,'0-0,50.00%,'1-5,'0-2,'0-1,'1-2,'0-0,20.00%,'0-0,'0-0,'0-0,'0-2,'0-0,0.00%,0,0,0,0,0,0,2,0,0,0,0,0.4,2,0,0,0,0,0.4,1,0,0,1,0,0.4,1,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0.2,12:59.0,03:19.0,00:28.0,09:10.0,04:42.0,06:07.0,,,,
O. Adeshina,Point Guard,12,16,8,14,4,10.8,'5-9,'7-20,'4-11,'6-13,'2-8,39.34%,'5-9,'7-20,'4-11,'6-13,'2-8,39.34%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'2-4,'2-3,'0-2,'2-4,'0-0,46.15%,2,4,2,3,4,3,6,3,3,7,2,4.2,8,7,5,10,6,7.2,0,0,0,1,1,0.4,2,0,3,1,1,1.4,1,1,0,0,0,0.4,5,2,1,5,2,3,31:12.0,37:11.0,18:22.0,29:34.0,28:45.0,29:00.0,,,,
J. Meniano,Center,0,2,0,2,0,0.8,'0-1,'1-6,'0-0,'0-1,'0-1,11.11%,'0-1,'1-4,'0-0,'0-1,'0-0,16.67%,'0-0,'0-2,'0-0,'0-0,'0-1,0.00%,'0-0,'0-1,'0-0,'2-2,'0-0,66.67%,0,3,0,1,0,0.8,2,0,1,0,0,0.6,2,3,1,1,0,1.4,0,3,1,1,0,1,0,2,0,1,0,0.6,0,0,0,0,0,0,0,0,1,0,1,0.4,09:19.0,12:24.0,07:40.0,16:24.0,05:30.0,10:15.0,,,,
E. Etang,Point Guard,12,22,9,9,6,11.6,'3-14,'9-25,'4-16,'4-12,'3-15,28.05%,'2-6,'8-19,'3-12,'4-8,'3-14,33.90%,'1-8,'1-6,'1-4,'0-4,'0-1,13.04%,'5-6,'3-5,'0-2,'1-2,'0-0,60.00%,1,3,0,1,1,1.2,4,5,5,6,2,4.4,5,8,5,7,3,5.6,2,1,2,1,2,1.6,2,3,1,3,2,2.2,0,0,0,0,0,0,6,3,1,7,4,4.2,38:00.0,39:41.0,25:35.0,35:26.0,30:13.0,33:47.0,,,,
K. Limbago,Small Forward,4,3,2,5,7,4.2,'2-3,'1-13,'1-4,'2-4,'1-6,23.33%,'2-2,'0-5,'1-3,'1-2,'0-3,26.67%,'0-1,'1-8,'0-1,'1-2,'1-3,20.00%,'0-0,'0-0,'0-0,'0-0,'4-6,66.67%,2,6,4,3,4,3.8,2,3,2,3,2,2.4,4,9,6,6,6,6.2,2,2,2,4,3,2.6,3,4,1,0,1,1.8,0,0,0,0,0,0,6,0,2,7,1,3.2,20:29.0,30:51.0,16:30.0,22:05.0,24:14.0,22:49.0,,,,
K. Mazo,Center,0,0,2,0,0,0.4,'0-1,'0-1,'0-2,'0-2,'0-4,0.00%,'0-1,'0-0,'0-0,'0-0,'0-1,0.00%,'0-0,'0-1,'0-2,'0-2,'0-3,0.00%,'0-0,'0-0,'2-2,'0-0,'0-0,100.00%,0,0,0,0,2,0.4,0,0,2,0,1,0.6,0,0,2,0,3,1,0,2,3,0,1,1.2,0,2,0,1,2,1,0,0,0,0,0,0,2,2,2,1,3,2,05:46.0,08:53.0,13:36.0,07:42.0,16:44.0,10:32.0,,,,
C. Apag,Power Forward,2,5,6,6,17,7.2,'1-10,'2-9,'2-11,'2-11,'6-12,24.53%,'1-7,'2-4,'2-5,'0-4,'4-8,32.14%,'0-3,'0-5,'0-6,'2-7,'2-4,16.00%,'0-0,'1-3,'2-3,'0-0,'3-5,54.55%,0,1,1,2,2,1.2,4,2,5,4,6,4.2,4,3,6,6,8,5.4,5,1,0,4,6,3.2,2,4,0,5,3,2.8,0,0,0,0,0,0,3,3,2,4,3,3,23:14.0,25:48.0,25:00.0,27:42.0,24:32.0,25:15.0,,,,
K. Agojo,Shooting Guard,6,2,2,0,2,2.4,'3-6,'1-5,'1-5,'0-0,'0-5,23.81%,'3-4,'1-4,'1-3,'0-0,'0-5,31.25%,'0-2,'0-1,'0-2,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'2-2,100.00%,2,3,2,0,1,1.6,2,3,1,0,2,1.6,4,6,3,0,3,3.2,0,0,1,0,1,0.4,0,1,1,0,1,0.6,0,0,0,0,0,0,2,0,2,0,1,1,18:10.0,22:50.0,17:53.0,07:30.0,12:55.0,15:51.0,,,,
M. Trabado,Small Forward,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:03.0,00:23.0,00:39.0,02:29.0,02:00.0,01:06.0,,,,
J. Calago,Point Guard,14,8,14,9,23,13.6,'3-15,'3-7,'3-8,'3-14,'7-20,29.69%,'2-9,'3-5,'0-1,'2-5,'3-11,32.26%,'1-6,'0-2,'3-7,'1-9,'4-9,27.27%,'7-10,'2-2,'5-9,'2-2,'5-8,67.74%,1,3,1,0,1,1.2,5,4,3,4,5,4.2,6,7,4,4,6,5.4,2,6,4,7,5,4.8,3,1,0,1,2,1.4,0,1,1,0,0,0.4,9,3,10,4,10,7.2,38:01.0,23:08.0,26:51.0,31:48.0,34:49.0,30:55.0,,,,
N. Aquirre,Shooting Guard,2,0,11,2,2,3.4,'1-2,'0-2,'4-8,'1-2,'1-1,46.67%,'1-1,'0-2,'3-5,'1-1,'1-1,60.00%,'0-1,'0-0,'1-3,'0-1,'0-0,20.00%,'0-0,'0-0,'2-2,'0-0,'0-0,100.00%,0,0,1,0,0,0.2,0,0,1,0,0,0.2,0,0,2,0,0,0.4,0,0,1,1,0,0.4,0,0,2,0,0,0.4,0,0,0,0,0,0,2,0,2,0,1,1,10:00.0,06:47.0,23:49.0,06:49.0,03:39.0,10:12.0,,,,
K. Cancio,Center,0,0,2,2,3,1.4,'0-0,'0-1,'1-1,'0-0,'0-0,50.00%,'0-0,'0-1,'1-1,'0-0,'0-0,50.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-2,'0-0,'2-2,'3-4,62.50%,0,0,0,0,1,0.2,0,0,1,1,3,1,0,0,1,1,4,1.2,0,0,1,1,3,1,1,1,0,1,0,0.6,3,0,1,0,0,0.8,2,0,3,1,1,1.4,11:20.0,04:52.0,11:32.0,12:59.0,10:09.0,10:10.0,,,,
G. Batongbakal,Power Forward,1,2,2,1,8,2.8,'0-3,'1-5,'1-2,'0-6,'3-5,23.81%,'0-1,'1-2,'1-2,'0-2,'1-1,37.50%,'0-2,'0-3,'0-0,'0-4,'2-4,15.38%,'1-2,'0-0,'0-0,'1-2,'0-0,50.00%,1,1,0,1,0,0.6,2,0,1,3,6,2.4,3,1,1,4,6,3,0,0,2,3,1,1.2,0,0,1,0,0,0.2,0,0,0,0,0,0,1,3,4,4,6,3.6,13:07.0,09:22.0,13:52.0,18:08.0,15:19.0,13:57.0,,,,
M. Fetalvero,Small Forward,0,0,3,1,0,0.8,'0-0,'0-0,'1-1,'0-0,'0-0,100.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'1-1,'0-0,'0-0,100.00%,'0-0,'0-0,'0-0,'1-2,'0-0,50.00%,0,0,0,0,1,0.2,0,0,1,0,0,0.2,0,0,1,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,01:51.0,01:03.0,03:16.0,01:35.0,03:08.0,02:10.0,,,,
R. Olivenza,Center,0,0,0,1,0,0.2,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'1-2,'0-0,50.00%,0,1,2,0,0,0.6,0,0,1,0,1,0.4,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,00:16.0,06:33.0,01:31.0,03:31.0,01:35.0,02:41.0,,,,
Y. Angala,Power Forward,0,0,0,6,0,1.2,'0-1,'0-1,'0-0,'2-5,'0-1,25.00%,'0-0,'0-1,'0-0,'0-0,'0-0,0.00%,'0-1,'0-0,'0-0,'2-5,'0-1,28.57%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,2,0,0.4,0,1,1,2,0,0.8,0,1,1,4,0,1.2,0,2,0,2,0,0.8,0,0,0,0,1,0.2,0,0,0,0,0,0,1,3,1,1,0,1.2,06:29.0,16:41.0,02:23.0,17:24.0,05:16.0,09:38.0,,,,
A. Eufemiano,Small Forward,0,2,0,7,0,1.8,'0-2,'1-3,'0-2,'3-9,'0-2,22.22%,'0-1,'1-2,'0-1,'2-6,'0-1,27.27%,'0-1,'0-1,'0-1,'1-3,'0-1,14.29%,'0-0,'0-2,'0-0,'0-0,'0-0,0.00%,0,1,0,1,1,0.6,0,0,1,2,1,0.8,0,1,1,3,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0,2,0,1,1,0.8,00:55.0,11:45.0,04:00.0,12:42.0,06:07.0,07:05.0,,,,
S. Villacruz,Power Forward,2,6,12,0,3,4.6,'1-3,'2-2,'3-8,'0-2,'0-2,35.29%,'1-3,'2-2,'3-8,'0-2,'0-2,35.29%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-2,'2-3,'6-10,'0-0,'3-8,47.83%,0,2,0,0,2,0.8,3,2,1,1,3,2,3,4,1,1,5,2.8,2,1,4,2,4,2.6,1,1,1,0,0,0.6,0,1,0,0,0,0.2,5,3,4,3,3,3.6,33:35.0,25:03.0,29:20.0,16:12.0,25:39.0,25:57.0,,,,
D. Nieves,Center,0,0,0,0,2,0.4,'0-0,'0-0,'0-1,'0-0,'0-2,0.00%,'0-0,'0-0,'0-1,'0-0,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'2-2,100.00%,0,0,1,0,0,0.2,1,0,1,0,1,0.6,1,0,2,0,1,0.8,0,0,2,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.6,02:15.0,07:29.0,05:32.0,01:03.0,03:27.0,03:57.0,,,,
L. Lopez,Shooting Guard,0,0,0,0,0,0,'0-0,'0-0,'0-1,'0-1,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'0-1,0.00%,'0-0,'0-0,'0-1,'0-1,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,2,0.4,0,0,1,0,2,0.6,0,0,1,0,4,1,0,1,0,0,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.6,01:27.0,00:55.0,02:17.0,01:31.0,03:32.0,01:56.0,,,,
P. Cruza,Center,0,0,0,0,7,1.4,'0-0,'0-2,'0-0,'0-0,'1-4,16.67%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-2,'0-0,'0-0,'1-4,16.67%,'0-0,'0-0,'0-0,'0-0,'4-6,66.67%,0,0,0,0,0,0,2,1,0,0,3,1.2,2,1,0,0,3,1.2,0,1,0,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1.6,04:57.0,03:40.0,00:05.0,01:59.0,11:38.0,04:27.0,,,,
S. Makanjuola,Point Guard,10,11,14,21,8,12.8,'1-3,'2-8,'3-7,'8-11,'4-5,52.94%,'1-3,'2-8,'3-7,'8-11,'4-5,52.94%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'8-12,'7-8,'8-12,'5-5,'0-1,73.68%,6,8,7,8,1,6,17,4,10,3,3,7.4,23,12,17,11,4,13.4,0,1,3,0,1,1,1,1,0,0,1,0.6,1,2,0,1,3,1.4,4,1,3,1,3,2.4,41:18.0,28:26.0,29:56.0,20:26.0,31:45.0,30:22.0,,,,
K. Oani,Shooting Guard,5,3,4,14,9,7,'2-12,'1-10,'1-8,'4-15,'2-10,18.18%,'1-4,'0-1,'0-1,'0-0,'0-0,16.67%,'1-8,'1-9,'1-7,'4-15,'2-10,18.37%,'0-0,'0-0,'1-1,'2-4,'3-4,66.67%,1,0,0,1,0,0.4,2,1,4,3,2,2.4,3,1,4,4,2,2.8,4,1,2,1,6,2.8,2,0,2,1,2,1.4,0,0,0,0,0,0,3,2,2,1,2,2,37:52.0,32:44.0,34:42.0,32:36.0,38:03.0,35:11.0,,,,
K. Dela Rosa,Shooting Guard,19,15,19,24,28,21,'7-19,'6-12,'6-16,'6-13,'11-20,45.00%,'7-17,'6-11,'6-14,'6-12,'10-17,49.30%,'0-2,'0-1,'0-2,'0-1,'1-3,11.11%,'5-6,'3-6,'7-7,'12-16,'5-6,78.05%,6,5,4,9,8,6.4,18,14,10,9,11,12.4,24,19,14,18,19,18.8,1,0,2,3,2,1.6,0,0,4,1,2,1.4,5,3,5,2,5,4,5,6,4,2,4,4.2,36:25.0,34:39.0,32:53.0,25:09.0,37:01.0,33:13.0,,,,
A. Mendoza,Power Forward,5,0,0,5,2,2.4,'2-5,'0-5,'0-1,'2-8,'1-2,23.81%,'2-4,'0-3,'0-0,'2-6,'1-2,33.33%,'0-1,'0-2,'0-1,'0-2,'0-0,0.00%,'1-2,'0-0,'0-0,'1-2,'0-0,50.00%,2,2,0,0,0,0.8,2,1,0,1,0,0.8,4,3,0,1,0,1.6,0,1,2,1,3,1.4,3,1,1,2,2,1.8,0,0,0,0,0,0,2,0,7,1,1,2.2,23:40.0,16:49.0,17:13.0,21:37.0,12:25.0,18:20.0,,,,
K. Pesquera,Small Forward,17,9,10,11,8,11,'7-18,'2-8,'4-9,'3-12,'3-13,31.67%,'5-11,'2-4,'2-3,'2-6,'1-7,38.71%,'2-7,'0-4,'2-6,'1-6,'2-6,24.14%,'1-2,'5-7,'0-0,'4-8,'0-0,58.82%,4,1,0,2,0,1.4,3,4,3,4,1,3,7,5,3,6,1,4.4,6,2,3,5,5,4.2,2,0,1,1,1,1,0,0,0,1,0,0.2,5,7,5,0,3,4,35:03.0,32:52.0,28:12.0,33:58.0,33:58.0,32:48.0,,,,
S. Tapawan,Shooting Guard,4,10,3,4,0,4.2,'0-5,'4-6,'1-2,'2-4,'0-3,35.00%,'0-5,'4-5,'1-2,'2-3,'0-2,41.18%,'0-0,'0-1,'0-0,'0-1,'0-1,0.00%,'4-6,'2-5,'1-2,'0-0,'0-0,53.85%,5,1,1,6,1,2.8,8,3,3,2,1,3.4,13,4,4,8,2,6.2,3,2,5,2,2,2.8,2,0,0,3,0,1,0,1,1,0,0,0.4,0,1,3,0,4,1.6,19:50.0,21:29.0,21:36.0,15:56.0,17:20.0,19:14.0,,,,
A. Sauz,Center,3,0,4,2,2,2.2,'1-5,'0-2,'2-5,'1-4,'1-1,29.41%,'0-3,'0-1,'2-4,'1-2,'1-1,36.36%,'1-2,'0-1,'0-1,'0-2,'0-0,16.67%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,2,0,0.4,1,0,3,0,0,0.8,1,0,3,2,0,1.2,0,0,1,1,0,0.4,1,1,1,3,0,1.2,0,0,0,0,0,0,1,0,0,1,2,0.8,13:16.0,15:32.0,14:19.0,16:13.0,11:40.0,14:12.0,,,,
B. Barba,Small Forward,1,0,0,0,0,0.2,'0-0,'0-1,'0-3,'0-0,'0-1,0.00%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-0,'0-1,'0-2,'0-0,'0-1,0.00%,'1-2,'0-0,'0-0,'0-0,'0-0,50.00%,0,0,1,0,0,0.2,0,1,0,0,0,0.2,0,1,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02:52.0,04:08.0,03:46.0,01:51.0,02:54.0,03:06.0,,,,
A. Maw,Power Forward,4,25,6,9,6,10,'2-4,'8-14,'2-6,'4-8,'2-8,45.00%,'2-3,'6-11,'0-1,'4-8,'1-5,46.43%,'0-1,'2-3,'2-5,'0-0,'1-3,41.67%,'0-0,'7-12,'0-0,'1-3,'1-2,52.94%,3,4,2,1,2,2.4,6,3,5,4,3,4.2,9,7,7,5,5,6.6,1,2,0,1,0,0.8,2,2,2,0,2,1.6,1,0,1,0,1,0.6,2,6,2,2,4,3.2,22:09.0,25:40.0,25:25.0,26:47.0,29:02.0,25:48.0,,,,
L. Ozar,Point Guard,13,14,7,9,16,11.8,'6-10,'6-11,'3-13,'3-11,'5-12,40.35%,'6-10,'5-8,'3-11,'3-9,'4-9,44.68%,'0-0,'1-3,'0-2,'0-2,'1-3,20.00%,'1-4,'1-2,'1-3,'3-4,'5-9,50.00%,4,2,4,0,2,2.4,0,9,3,9,6,5.4,4,11,7,9,8,7.8,2,8,5,3,5,4.6,3,1,3,1,4,2.4,0,0,0,0,0,0,0,4,6,6,5,4.2,23:31.0,29:48.0,28:24.0,34:28.0,23:44.0,27:59.0,,,,
D. Nolasco,Shooting Guard,14,5,5,4,3,6.2,'4-6,'2-4,'1-3,'2-3,'1-3,52.63%,'1-1,'1-2,'0-0,'2-2,'1-2,71.43%,'3-5,'1-2,'1-3,'0-1,'0-1,41.67%,'3-4,'0-0,'2-2,'0-0,'1-2,75.00%,1,1,0,0,0,0.4,3,4,4,0,1,2.4,4,5,4,0,1,2.8,2,2,3,0,2,1.8,0,0,0,1,2,0.6,0,0,0,0,0,0,2,2,0,1,1,1.2,20:45.0,17:03.0,17:09.0,16:47.0,15:36.0,17:28.0,,,,
R. Lozada,Small Forward,8,0,2,0,4,2.8,'3-4,'0-2,'1-4,'0-1,'2-9,30.00%,'2-3,'0-0,'1-4,'0-1,'2-4,41.67%,'1-1,'0-2,'0-0,'0-0,'0-5,12.50%,'1-1,'0-0,'0-0,'0-0,'0-3,25.00%,0,0,0,0,0,0,1,0,0,0,1,0.4,1,0,0,0,1,0.4,0,4,0,0,0,0.8,1,0,0,0,0,0.2,0,0,0,0,0,0,0,1,1,1,0,0.6,10:05.0,08:56.0,08:18.0,09:24.0,15:14.0,10:23.0,,,,
E. Jimenez,Power Forward,2,5,0,0,9,3.2,'1-4,'2-6,'0-2,'0-4,'3-3,31.58%,'1-2,'1-2,'0-2,'0-2,'0-0,25.00%,'0-2,'1-4,'0-0,'0-2,'3-3,36.36%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,1,2,1,0,0.8,3,1,3,1,2,2,3,2,5,2,2,2.8,2,1,0,0,1,0.8,2,1,3,3,2,2.2,0,0,0,0,0,0,4,3,1,1,1,2,15:32.0,14:59.0,16:13.0,10:53.0,08:19.0,13:11.0,,,,
M. Vingno,Small Forward,2,2,0,3,2,1.8,'1-6,'1-7,'0-1,'1-4,'1-3,19.05%,'1-4,'1-6,'0-1,'0-2,'1-2,20.00%,'0-2,'0-1,'0-0,'1-2,'0-1,16.67%,'0-0,'0-2,'0-0,'0-0,'0-0,0.00%,3,0,1,2,0,1.2,1,0,3,0,0,0.8,4,0,4,2,0,2,0,1,0,2,0,0.6,1,1,1,0,0,0.6,0,0,0,0,0,0,2,1,0,0,1,0.8,13:11.0,07:17.0,05:55.0,14:17.0,09:49.0,10:05.0,,,,
D. Quinquinio,Center,1,2,0,0,0,0.6,'0-1,'1-1,'0-0,'0-1,'0-0,33.33%,'0-1,'1-1,'0-0,'0-1,'0-0,33.33%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'1-2,'0-0,'0-0,'0-0,'0-0,50.00%,0,0,0,0,0,0,2,1,0,1,0,0.8,2,1,0,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.6,07:00.0,05:32.0,00:43.0,05:18.0,01:50.0,04:04.0,,,,
C. Bariquit,Power Forward,0,8,11,6,13,7.6,'0-9,'2-5,'2-7,'1-3,'4-14,23.68%,'0-5,'2-5,'0-2,'0-0,'2-8,20.00%,'0-4,'0-0,'2-5,'1-3,'2-6,27.78%,'0-0,'4-4,'5-6,'3-4,'3-6,75.00%,5,2,0,1,4,2.4,3,6,3,3,6,4.2,8,8,3,4,10,6.6,0,1,3,2,0,1.2,0,1,2,0,2,1,0,0,0,0,0,0,2,4,3,4,6,3.8,22:52.0,25:46.0,32:56.0,23:01.0,29:53.0,26:53.0,,,,
R. Solitario,Power Forward,3,0,3,2,0,1.6,'1-2,'0-1,'1-6,'0-0,'0-1,20.00%,'0-0,'0-1,'0-0,'0-0,'0-0,0.00%,'1-2,'0-0,'1-6,'0-0,'0-1,22.22%,'0-0,'0-0,'0-0,'2-3,'0-0,66.67%,0,1,1,0,0,0.4,0,0,0,1,0,0.2,0,1,1,1,0,0.6,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,2,1,0,0.6,05:08.0,03:06.0,09:02.0,05:35.0,00:24.0,04:39.0,,,,
K. Buscar,Small Forward,4,2,0,0,2,1.6,'2-5,'1-3,'0-2,'0-5,'1-5,20.00%,'2-4,'1-2,'0-2,'0-4,'1-4,25.00%,'0-1,'0-1,'0-0,'0-1,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,2,0,1,1,0.8,3,3,1,2,2,2.2,3,5,1,3,3,3,2,0,0,2,1,1,0,3,0,1,4,1.6,0,0,0,0,0,0,7,3,2,3,5,4,27:19.0,20:37.0,08:02.0,23:21.0,30:32.0,21:58.0,,,,
M. Vacalares,Shooting Guard,9,7,6,6,0,5.6,'4-9,'3-10,'3-7,'2-10,'0-1,32.43%,'3-6,'2-5,'3-3,'0-6,'0-1,38.10%,'1-3,'1-5,'0-4,'2-4,'0-0,25.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,3,1,1,1,1.4,2,4,3,2,0,2.2,3,7,4,3,1,3.6,2,0,0,1,0,0.6,2,2,0,1,0,1,0,1,0,0,0,0.2,2,3,6,4,1,3.2,28:19.0,26:26.0,24:34.0,28:23.0,04:01.0,22:20.0,,,,
P. Ganade,Point Guard,17,12,7,10,10,11.2,'5-12,'5-12,'3-8,'4-11,'4-8,41.18%,'0-7,'5-11,'2-5,'2-5,'4-7,37.14%,'5-5,'0-1,'1-3,'2-6,'0-1,50.00%,'2-5,'2-2,'0-0,'0-0,'2-2,66.67%,1,0,0,4,1,1.2,4,5,7,2,1,3.8,5,5,7,6,2,5,5,7,6,5,8,6.2,1,2,2,5,4,2.8,0,1,0,0,0,0.2,3,5,8,3,10,5.8,36:22.0,35:35.0,35:56.0,34:38.0,28:28.0,34:11.0,,,,
R. Lacayanga,Shooting Guard,6,8,13,19,10,11.2,'3-15,'4-12,'4-15,'7-25,'4-14,27.16%,'3-11,'4-10,'2-7,'5-13,'4-11,34.62%,'0-4,'0-2,'2-8,'2-12,'0-3,13.79%,'0-0,'0-0,'3-4,'3-4,'2-8,50.00%,1,2,3,3,2,2.2,6,7,7,5,8,6.6,7,9,10,8,10,8.8,1,1,1,0,0,0.6,2,2,2,2,5,2.6,0,0,1,1,0,0.4,6,3,2,6,5,4.4,25:11.0,29:30.0,25:07.0,30:02.0,29:43.0,27:54.0,,,,
K. Ruiz,Power Forward,0,0,8,12,2,4.4,'0-1,'0-5,'3-9,'3-13,'1-3,22.58%,'0-1,'0-2,'3-6,'2-5,'1-3,35.29%,'0-0,'0-3,'0-3,'1-8,'0-0,7.14%,'0-0,'0-0,'2-2,'5-5,'0-0,100.00%,0,1,1,1,2,1,0,1,1,6,3,2.2,0,2,2,7,5,3.2,0,1,0,2,0,0.6,0,0,1,1,0,0.4,0,0,0,0,0,0,1,2,4,4,4,3,03:38.0,13:19.0,21:17.0,31:59.0,11:30.0,16:20.0,,,,
I. Yanez,Shooting Guard,0,0,0,2,3,1,'0-0,'0-2,'0-4,'0-5,'1-8,5.26%,'0-0,'0-0,'0-0,'0-4,'1-3,14.29%,'0-0,'0-2,'0-4,'0-1,'0-5,0.00%,'0-0,'0-0,'0-0,'2-2,'1-2,75.00%,0,0,0,1,0,0.2,0,0,3,1,5,1.8,0,0,3,2,5,2,1,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,2.4,03:15.0,07:11.0,08:33.0,17:50.0,18:50.0,11:07.0,,,,
M. Dalguntas,Power Forward,0,0,3,0,0,0.6,'0-2,'0-1,'1-2,'0-1,'0-0,16.67%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-2,'0-1,'1-1,'0-1,'0-0,20.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,2,1,0,0.6,0,1,2,1,0,0.8,0,1,4,2,0,1.4,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0.8,06:54.0,07:25.0,16:04.0,08:41.0,06:39.0,09:08.0,,,,
P. Delig,Center,0,0,0,0,0,0,'0-0,'0-2,'0-1,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-2,'0-1,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.4,01:12.0,02:30.0,03:21.0,04:20.0,00:00.0,02:16.0,,,,
R. Lumibao,Small Forward,0,0,2,0,4,1.2,'0-0,'0-3,'1-2,'0-0,'2-5,30.00%,'0-0,'0-2,'1-2,'0-0,'2-4,37.50%,'0-0,'0-1,'0-0,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,1,0,1,0.4,0,1,3,0,6,2,0,1,4,0,7,2.4,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,1,1,5,1.4,00:55.0,06:20.0,12:40.0,00:56.0,15:34.0,07:17.0,,,,
A. Ronquillo,Center,10,6,2,0,6,4.8,'4-14,'2-7,'1-7,'0-1,'2-7,25.00%,'3-6,'0-2,'1-5,'0-1,'2-3,35.29%,'1-8,'2-5,'0-2,'0-0,'0-4,15.79%,'1-1,'0-0,'0-0,'0-0,'2-2,100.00%,4,0,1,0,2,1.4,3,0,2,0,2,1.4,7,0,3,0,4,2.8,1,1,2,0,1,1,1,1,0,0,0,0.4,1,1,0,0,0,0.4,6,3,6,3,3,4.2,38:19.0,33:08.0,28:44.0,08:20.0,29:23.0,27:34.0,,,,
