Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
F. Dignadice,Shooting Guard,0,2,2,0,5,1.8,'0-2,'0-2,'0-2,'0-3,'2-3,16.67%,'0-0,'0-2,'0-2,'0-3,'1-1,12.50%,'0-0,'0-0,'0-0,'0-0,'1-2,50.00%,'2-4,'2-4,'2-4,'0-0,'1-2,50.00%,0,3,3,0,0,1.2,0,0,0,1,1,0.4,3,3,3,1,1,2.2,0,0,0,2,0,0.4,1,0,0,1,0,0.4,0,0,0,0,0,0,0,2,0,0,0,0.4,00:46.0,10:41.0,10:41.0,10:54.0,04:00.0,07:24.0,,,,
J. Barcelona,Power Forward,0,3,3,5,4,3,'0-0,'1-1,'1-2,'2-3,'1-1,71.43%,'0-0,'1-1,'0-2,'1-1,'1-1,60.00%,'0-0,'1-1,'1-0,'1-2,'0-0,100.00%,'0-0,'0-0,'0-0,'1-2,'2-4,50.00%,0,0,0,0,1,0.2,0,0,0,1,0,0.2,0,0,0,1,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:46.0,01:41.0,01:41.0,04:00.0,04:00.0,02:25.0,,,,
C. Alexander,Point Guard,0,0,0,4,0,0.8,'0-0,'0-2,'0-2,'1-1,'0-1,16.67%,'0-0,'0-2,'0-1,'1-1,'0-0,25.00%,'0-0,'0-1,'0-1,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'2-4,'0-0,50.00%,0,2,0,1,0,0.6,0,1,1,0,0,0.4,0,3,1,1,0,1,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,02:19.0,02:10.0,02:10.0,04:00.0,06:24.0,03:24.0,,,,
A. Ignacio,Power Forward,0,0,0,0,0,0,'0-0,'0-1,'0-1,'0-1,'0-0,0.00%,'0-0,'0-1,'0-1,'0-0,'0-0,0.00%,'0-0,'0-1,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,1,1,0,0,0.4,0,1,1,0,0,0.4,0,1,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,00:46.0,02:10.0,02:10.0,06:24.0,04:00.0,03:06.0,,,,
A. Ronzone,Point Guard,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,1,1,0,0,0.4,0,1,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,02:37.0,02:22.0,02:22.0,04:00.0,04:36.0,03:11.0,,,,
M. Anabo,Shooting Guard,13,6,5,7,7,7.6,'3-7,'2-5,'2-2,'2-5,'2-5,45.83%,'0-1,'0-3,'2-2,'1-1,'1-1,50.00%,'3-6,'0-0,'0-0,'1-4,'1-4,35.71%,'4-7,'0-0,'1-0,'2-3,'2-3,69.23%,0,0,0,1,1,0.4,2,6,1,1,1,2.2,2,6,1,2,2,2.6,2,1,2,0,0,1,1,1,1,0,0,0.6,0,0,0,0,0,0,3,1,0,2,2,1.6,23:14.0,20:08.0,16:44.0,12:13.0,12:13.0,16:54.0,,,,
J. Calisay,Shooting Guard,6,0,6,0,0,2.4,'2-4,'0-0,'2-4,'0-6,'0-6,20.00%,'0-0,'0-0,'2-4,'0-2,'0-2,25.00%,'2-4,'0-0,'0-0,'0-4,'0-4,16.67%,'0-0,'0-0,'2-4,'0-0,'0-0,50.00%,0,0,0,0,0,0,5,0,5,5,5,4,5,0,5,5,5,4,0,0,0,0,0,0,0,0,0,1,1,0.4,1,0,0,0,0,0.2,0,0,0,0,0,0,10:24.0,00:00.0,19:24.0,17:29.0,17:29.0,12:57.0,,,,
M. Ojarikre,Point Guard,2,13,17,17,0,9.8,'3-5,'5-14,'8-17,'8-17,'0-0,45.28%,'3-5,'5-13,'4-7,'4-7,'0-0,50.00%,'0-0,'0-1,'4-10,'3-6,'0-0,41.18%,'0-0,'3-4,'1-2,'1-2,'0-0,62.50%,2,3,3,3,3,2.8,3,6,7,7,7,6,5,9,10,10,10,8.8,0,1,4,4,4,2.6,0,0,2,2,0,0.8,0,2,1,1,0,0.8,2,5,2,2,0,2.2,22:15.0,21:35.0,24:35.0,24:35.0,18:04.0,22:12.0,,,,
C. Manzano,Shooting Guard,6,0,2,0,6,2.8,'1-1,'1-6,'1-1,'0-0,'3-8,37.50%,'1-1,'1-6,'1-1,'0-0,'3-7,40.00%,'0-0,'0-0,'0-0,'0-0,'0-1,0.00%,'0-1,'0-5,'0-1,'0-0,'0-0,0.00%,5,7,2,0,0,2.8,2,4,5,4,2,3.4,7,11,7,4,2,6.2,1,1,1,0,4,1.4,0,0,0,0,2,0.4,1,0,1,2,1,1,1,0,0,1,2,0.8,17:32.0,00:00.0,17:32.0,19:50.0,24:35.0,15:53.0,,,,
M. Montebon,Point Guard,0,1,13,13,6,6.6,'0-3,'0-5,'6-10,'6-10,'2-2,46.67%,'0-2,'0-2,'6-9,'6-9,'2-2,58.33%,'0-1,'0-3,'0-1,'0-1,'0-0,0.00%,'0-0,'1-1,'0-1,'0-1,'2-3,50.00%,0,0,0,0,0,0,3,2,3,3,3,2.8,3,2,3,3,3,2.8,7,3,5,5,5,5,2,0,0,0,0,0.4,1,0,0,0,0,0.2,2,2,2,2,2,2,21:43.0,28:32.0,24:18.0,24:18.0,24:18.0,24:37.0,,,,
